AQI_Value_left,AQI_Value_right
39.0,23.0
55.0,48.0
48.0,56.0
66.0,59.0
83.0,45.0
43.0,66.0
36.0,38.0
40.0,31.0
54.0,26.0
32.0,53.0
41.0,67.0
53.0,62.0
38.0,62.0
48.0,66.0
76.0,81.0
50.0,56.0
64.0,57.0
78.0,52.0
54.0,34.0
35.0,36.0
36.0,54.0
60.0,38.0
51.0,34.0
54.0,54.0
56.0,33.0
59.0,37.0
65.0,50.0
70.0,43.0
52.0,37.0
54.0,35.0
40.0,39.0
68.0,73.0
90.0,90.0
97.0,74.0
46.0,69.0
46.0,74.0
62.0,51.0
52.0,47.0
33.0,31.0
36.0,38.0
60.0,53.0
76.0,55.0
37.0,33.0
44.0,35.0
57.0,34.0
55.0,46.0
32.0,40.0
32.0,57.0
37.0,42.0
59.0,51.0
52.0,33.0
51.0,53.0
77.0,78.0
67.0,59.0
41.0,42.0
33.0,43.0
35.0,54.0
49.0,63.0
60.0,65.0
61.0,63.0
71.0,64.0
52.0,69.0
44.0,38.0
52.0,40.0
48.0,41.0
53.0,56.0
87.0,65.0
80.0,51.0
54.0,42.0
45.0,47.0
48.0,56.0
59.0,48.0
49.0,52.0
36.0,37.0
42.0,45.0
41.0,49.0
60.0,47.0
70.0,59.0
59.0,62.0
59.0,54.0
41.0,46.0
43.0,46.0
61.0,66.0
42.0,107.0
43.0,44.0
59.0,52.0
63.0,67.0
62.0,69.0
56.0,42.0
41.0,44.0
43.0,44.0
54.0,54.0
65.0,55.0
40.0,54.0
58.0,63.0
81.0,71.0
56.0,60.0
48.0,46.0
50.0,54.0
32.0,53.0
42.0,49.0
62.0,45.0
47.0,49.0
40.0,46.0
48.0,45.0
50.0,64.0
71.0,58.0
67.0,61.0
32.0,31.0
36.0,31.0
37.0,49.0
55.0,54.0
56.0,55.0
43.0,42.0
41.0,55.0
45.0,51.0
45.0,44.0
45.0,45.0
37.0,52.0
41.0,61.0
47.0,78.0
44.0,47.0
45.0,41.0
45.0,62.0
44.0,47.0
87.0,90.0
37.0,100.0
42.0,64.0
59.0,63.0
33.0,38.0
46.0,42.0
29.0,35.0
35.0,31.0
46.0,48.0
64.0,77.0
67.0,67.0
44.0,64.0
58.0,71.0
52.0,53.0
35.0,38.0
33.0,40.0
63.0,58.0
61.0,55.0
43.0,56.0
58.0,58.0
38.0,55.0
41.0,46.0
60.0,66.0
59.0,44.0
64.0,40.0
50.0,46.0
53.0,71.0
53.0,64.0
32.0,51.0
61.0,97.0
66.0,56.0
59.0,100.0
63.0,67.0
48.0,57.0
44.0,32.0
33.0,38.0
48.0,50.0
54.0,48.0
44.0,40.0
42.0,54.0
44.0,51.0
36.0,44.0
51.0,42.0
50.0,42.0
74.0,52.0
55.0,42.0
44.0,51.0
32.0,44.0
52.0,45.0
42.0,36.0
64.0,58.0
84.0,101.0
105.0,100.0
115.0,97.0
101.0,90.0
40.0,84.0
61.0,90.0
90.0,84.0
74.0,64.0
85.0,78.0
63.0,85.0
77.0,56.0
50.0,51.0
40.0,58.0
54.0,87.0
119.0,122.0
77.0,80.0
43.0,100.0
105.0,140.0
43.0,119.0
93.0,50.0
37.0,33.0
43.0,33.0
64.0,44.0
50.0,64.0
54.0,59.0
44.0,53.0
32.0,33.0
43.0,39.0
36.0,55.0
49.0,74.0
87.0,101.0
80.0,90.0
58.0,77.0
64.0,65.0
47.0,46.0
44.0,67.0
48.0,87.0
51.0,84.0
56.0,97.0
105.0,90.0
74.0,105.0
48.0,71.0
58.0,58.0
44.0,61.0
39.0,77.0
52.0,61.0
50.0,71.0
53.0,87.0
60.0,49.0
42.0,71.0
51.0,50.0
54.0,97.0
54.0,74.0
45.0,67.0
64.0,105.0
61.0,56.0
91.0,71.0
36.0,40.0
29.0,40.0
31.0,89.0
45.0,41.0
40.0,28.0
28.0,33.0
39.0,41.0
39.0,46.0
46.0,54.0
38.0,55.0
44.0,56.0
44.0,52.0
51.0,56.0
33.0,47.0
39.0,45.0
52.0,54.0
52.0,37.0
31.0,51.0
55.0,67.0
93.0,101.0
84.0,87.0
48.0,90.0
64.0,84.0
38.0,40.0
62.0,50.0
46.0,74.0
46.0,50.0
71.0,57.0
58.0,84.0
67.0,112.0
97.0,90.0
59.0,52.0
38.0,41.0
36.0,47.0
49.0,58.0
40.0,45.0
51.0,67.0
44.0,64.0
31.0,50.0
53.0,71.0
53.0,79.0
40.0,147.0
43.0,108.0
25.0,113.0
34.0,47.0
45.0,63.0
32.0,49.0
50.0,51.0
54.0,47.0
39.0,57.0
44.0,43.0
33.0,110.0
40.0,42.0
31.0,107.0
58.0,52.0
33.0,80.0
29.0,74.0
30.0,51.0
58.0,52.0
51.0,70.0
50.0,38.0
35.0,109.0
39.0,34.0
49.0,82.0
70.0,87.0
65.0,52.0
42.0,127.0
45.0,58.0
52.0,60.0
58.0,61.0
51.0,146.0
52.0,130.0
63.0,116.0
43.0,49.0
50.0,40.0
52.0,96.0
46.0,58.0
36.0,43.0
27.0,60.0
42.0,54.0
56.0,47.0
41.0,53.0
32.0,31.0
30.0,55.0
55.0,57.0
79.0,78.0
33.0,72.0
55.0,69.0
52.0,91.0
108.0,59.0
67.0,63.0
58.0,50.0
26.0,34.0
51.0,48.0
60.0,49.0
54.0,43.0
60.0,57.0
43.0,30.0
27.0,25.0
26.0,52.0
45.0,30.0
23.0,31.0
30.0,29.0
43.0,36.0
59.0,28.0
45.0,52.0
38.0,57.0
31.0,56.0
60.0,54.0
29.0,41.0
52.0,33.0
45.0,52.0
62.0,57.0
67.0,52.0
72.0,54.0
56.0,60.0
74.0,60.0
57.0,57.0
51.0,58.0
43.0,60.0
79.0,83.0
77.0,78.0
66.0,78.0
59.0,86.0
87.0,80.0
57.0,80.0
55.0,44.0
62.0,63.0
78.0,68.0
65.0,35.0
25.0,32.0
27.0,28.0
